vehicle_uid,name,year,fuel,seller_type,transmission,owner,brand,car_age
CAR_000021,Tata Indigo Grand Petrol,2014,Petrol,Individual,Manual,Second Owner,Tata,11
CAR_000022,Hyundai Creta 1.6 VTVT S,2015,Petrol,Individual,Manual,First Owner,Hyundai,10
CAR_000023,Maruti Celerio Green VXI,2017,CNG,Individual,Manual,First Owner,Maruti,8
CAR_000024,Chevrolet Sail 1.2 Base,2015,Petrol,Individual,Manual,First Owner,Chevrolet,10
CAR_000025,Tata Indigo Grand Petrol,2014,Petrol,Individual,Manual,First Owner,Tata,11
CAR_000026,Toyota Corolla Altis 1.8 VL CVT,2018,Petrol,Dealer,Automatic,First Owner,Toyota,7
CAR_000027,Maruti Ciaz VXi Plus,2015,Petrol,Dealer,Manual,First Owner,Maruti,10
CAR_000028,Hyundai Venue SX Opt Diesel,2019,Diesel,Dealer,Manual,First Owner,Hyundai,6
CAR_000029,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,Diesel,Individual,Manual,Second Owner,Chevrolet,12
CAR_000030,Jaguar XF 2.2 Litre Luxury,2014,Diesel,Dealer,Automatic,First Owner,Jaguar,11
CAR_000031,Mercedes-Benz New C-Class 220 CDI AT,2013,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,12
CAR_000032,Maruti Vitara Brezza ZDi Plus AMT,2018,Diesel,Dealer,Automatic,First Owner,Maruti,7
CAR_000033,Audi Q5 2.0 TDI,2011,Diesel,Dealer,Unknown,First Owner,Audi,14
CAR_000034,Honda City V MT,2018,Petrol,Dealer,Manual,First Owner,Honda,7
CAR_000035,Tata Tigor 1.2 Revotron XT,2018,Petrol,Individual,Manual,First Owner,Tata,7
CAR_000036,Audi A6 2.0 TDI  Design Edition,2013,Diesel,Dealer,Automatic,First Owner,Audi,12
CAR_000037,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,13
CAR_000038,Skoda Superb Ambition 2.0 TDI CR AT,2011,Diesel,Dealer,Automatic,Second Owner,Skoda,14
CAR_000039,Toyota Corolla Altis G AT,2016,Petrol,Individual,Automatic,First Owner,Toyota,9
CAR_000040,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,Diesel,Individual,Manual,First Owner,Toyota,10
CAR_000041,Jeep Compass 1.4 Sport Plus BSIV,2019,Petrol,Individual,Unknown,First Owner,Jeep,6
CAR_000042,Mercedes-Benz E-Class E 200 CGI Elegance,2010,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,15
CAR_000043,Hyundai i10 Magna 1.1L,2014,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,11
CAR_000044,BMW 3 Series 320d Sport Line,2013,Diesel,Dealer,Automatic,Second Owner,BMW,12
CAR_000045,Audi Q7 35 TDI Quattro Premium,2009,Diesel,Dealer,Unknown,Third Owner,Audi,16
CAR_000046,Hyundai Elantra CRDi S,2012,Diesel,Individual,Manual,First Owner,Hyundai,13
CAR_000047,Mahindra Scorpio 1.99 S10,2014,Diesel,Individual,Manual,First Owner,Mahindra,11
CAR_000048,Honda City i DTEC V,2014,Petrol,Individual,Manual,Second Owner,Honda,11
CAR_000049,Maruti Wagon R VXI BS IV with ABS,2014,Petrol,Individual,Manual,Second Owner,Maruti,11
CAR_000050,Maruti Wagon R VXI BS IV,2012,Petrol,Individual,Manual,Second Owner,Maruti,13
CAR_000051,Mahindra Scorpio LX,2009,Petrol,Individual,Manual,Second Owner,Mahindra,16
CAR_000052,Hyundai Santro Xing GLS,2009,Petrol,Individual,Manual,Third Owner,Hyundai,16
CAR_000053,Hyundai Grand i10 1.2 Kappa Asta,2019,Petrol,Individual,Manual,First Owner,Hyundai,6
CAR_000054,Maruti Alto LXi,2006,Petrol,Individual,Unknown,First Owner,Maruti,19
CAR_000055,Maruti Swift Dzire VDI Optional,2017,Diesel,Dealer,Manual,First Owner,Maruti,8
CAR_000056,Maruti Eeco 5 Seater AC BSIV,2018,Petrol,Dealer,Manual,First Owner,Maruti,7
CAR_000057,Hyundai i20 Sportz 1.4 CRDi,2018,Diesel,Dealer,Manual,First Owner,Hyundai,7
CAR_000058,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,Petrol,Dealer,Manual,First Owner,Maruti,7
CAR_000059,Maruti Swift ZDi BSIV,2016,Diesel,Dealer,Manual,First Owner,Maruti,9
CAR_000060,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,Diesel,Dealer,Unknown,First Owner,Hyundai,11
CAR_000061,Maruti Alto LXi,2012,Petrol,Individual,Unknown,Second Owner,Maruti,13
CAR_000062,Mahindra Jeep CL 500 MDI,1996,Diesel,Individual,Manual,Second Owner,Mahindra,29
CAR_000063,Honda City i DTEC VX,2014,Diesel,Dealer,Manual,First Owner,Honda,11
CAR_000064,Maruti Wagon R VXI BS IV,2013,Petrol,Dealer,Manual,First Owner,Maruti,12
CAR_000065,Tata Indica DLS,2005,Diesel,Individual,Manual,First Owner,Tata,20
CAR_000066,Hyundai EON Magna Plus,2014,Petrol,Dealer,Manual,Second Owner,Hyundai,11
CAR_000067,Toyota Etios GD,2014,Diesel,Dealer,Manual,First Owner,Toyota,11
CAR_000068,Maruti Alto LXi,2009,Petrol,Dealer,Manual,Second Owner,Maruti,16
CAR_000069,Maruti Alto LXi,2009,Petrol,Individual,Manual,First Owner,Maruti,16
CAR_000070,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,Diesel,Individual,Manual,Second Owner,Chevrolet,15
CAR_000071,Toyota Corolla Altis Diesel D4DG,2011,Diesel,Individual,Manual,First Owner,Toyota,14
CAR_000072,Mahindra Scorpio 1.99 S6 Plus,2017,Diesel,Individual,Manual,First Owner,Mahindra,8
CAR_000073,Hyundai EON Magna Plus,2018,Petrol,Individual,Manual,First Owner,Hyundai,7
CAR_000074,Tata Indigo Classic Dicor,2007,Diesel,Individual,Manual,First Owner,Tata,18
CAR_000075,Toyota Innova 2.5 V Diesel 8-seater,2009,Diesel,Individual,Manual,Third Owner,Toyota,16
CAR_000076,Tata Indica Vista Quadrajet LS,2014,Diesel,Individual,Manual,Fourth & Above Owner,Tata,11
CAR_000077,Maruti Swift 1.3 VXi,2006,Petrol,Individual,Manual,Third Owner,Maruti,19
CAR_000078,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,Diesel,Individual,Manual,First Owner,Ford,8
CAR_000079,Maruti Ciaz 1.3 Delta,2018,Petrol,Individual,Manual,First Owner,Maruti,7
CAR_000080,Honda Civic 1.8 V AT,2007,Petrol,Individual,Automatic,Second Owner,Honda,18
CAR_000081,Hyundai i10 Sportz 1.2,2010,Petrol,Individual,Manual,Second Owner,Hyundai,15
CAR_000082,Skoda Rapid 1.5 TDI Elegance,2014,Diesel,Individual,Manual,Second Owner,Skoda,11
CAR_000083,Hyundai Getz GLS,2005,Petrol,Individual,Manual,Third Owner,Hyundai,20
CAR_000084,Nissan Terrano XL,2014,Petrol,Individual,Manual,Second Owner,Nissan,11
CAR_000085,Hyundai Grand i10 CRDi Sportz,2015,Diesel,Individual,Manual,First Owner,Hyundai,10
CAR_000086,Hyundai Elite i20 Diesel Era,2019,Diesel,Individual,Manual,First Owner,Hyundai,6
CAR_000087,Honda Amaze S i-VTEC,2016,Petrol,Dealer,Manual,First Owner,Honda,9
CAR_000088,Honda Brio S MT,2015,Petrol,Dealer,Manual,First Owner,Honda,10
CAR_000089,Hyundai Creta 1.6 SX Option,2017,Petrol,Dealer,Manual,First Owner,Hyundai,8
CAR_000090,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,8
CAR_000091,Mahindra XUV500 W8 2WD,2015,Diesel,Individual,Manual,First Owner,Mahindra,10
CAR_000092,Renault Duster 85PS Diesel RxL Optional,2013,Diesel,Individual,Manual,First Owner,Renault,12
CAR_000093,Hyundai Santro Xing XO,2007,Petrol,Dealer,Manual,Second Owner,Hyundai,18
CAR_000094,Mahindra Bolero 2011-2019 SLE,2013,Diesel,Dealer,Unknown,First Owner,Mahindra,12
CAR_000095,Audi A6 2.0 TDI Premium Plus,2014,Diesel,Dealer,Automatic,Second Owner,Audi,11
CAR_000096,Fiat Avventura MULTIJET Emotion,2015,Diesel,Individual,Manual,Second Owner,Fiat,10
CAR_000097,Audi A8 4.2 TDI,2013,Diesel,Dealer,Automatic,First Owner,Audi,12
CAR_000098,Datsun RediGO 1.0 S,2017,Petrol,Dealer,Manual,Second Owner,Datsun,8
CAR_000099,Volkswagen Jetta 1.4 TSI Comfortline,2013,Petrol,Individual,Manual,First Owner,Volkswagen,12
CAR_000100,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,Diesel,Dealer,Automatic,First Owner,Audi,12
CAR_000101,Honda Civic 1.8 V AT,2009,Petrol,Dealer,Automatic,First Owner,Honda,16
CAR_000102,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,Petrol,Dealer,Unknown,First Owner,Mercedes-Benz,7
CAR_000103,BMW X1 sDrive 20d xLine,2017,Diesel,Individual,Automatic,First Owner,BMW,8
CAR_000104,Volvo V40 D3 R Design,2018,Diesel,Dealer,Automatic,First Owner,Volvo,7
CAR_000105,Maruti SX4 Zxi BSIII,2008,Petrol,Dealer,Manual,First Owner,Maruti,17
CAR_000106,BMW 7 Series 730Ld,2012,Diesel,Dealer,Automatic,First Owner,BMW,13
CAR_000107,Mahindra Bolero Power Plus SLX,2017,Diesel,Individual,Manual,First Owner,Mahindra,8
CAR_000108,Hyundai Sonata CRDi M/T,2010,Diesel,Individual,Manual,First Owner,Hyundai,15
CAR_000109,Nissan Micra Active XV Petrol,2017,Petrol,Individual,Manual,First Owner,Nissan,8
CAR_000110,Mahindra Xylo D4,2018,Diesel,Individual,Manual,First Owner,Mahindra,7
CAR_000111,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,Petrol,Individual,Manual,First Owner,Hyundai,6
CAR_000112,Renault KWID RXT,2017,Petrol,Individual,Manual,First Owner,Renault,8
CAR_000113,Mahindra Xylo E4 BS III,2012,Petrol,Individual,Manual,First Owner,Mahindra,13
CAR_000114,Maruti Wagon R LXI Minor,2010,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,15
CAR_000115,Maruti SX4 ZXI MT BSIV,2011,Petrol,Individual,Unknown,Third Owner,Maruti,14
CAR_000116,Renault KWID RXT,2017,Petrol,Individual,Manual,First Owner,Renault,8
CAR_000117,Hyundai Creta 1.4 CRDi S,2016,Diesel,Individual,Manual,First Owner,Hyundai,9
CAR_000118,Maruti Swift Dzire VDI,2014,Diesel,Individual,Manual,Second Owner,Maruti,11
CAR_000119,Hyundai Verna 1.6 VTVT AT S Option,2016,Petrol,Individual,Unknown,First Owner,Hyundai,9
CAR_000120,Mahindra Scorpio LX BSIV,2014,Diesel,Individual,Manual,Second Owner,Mahindra,11
CAR_000121,Maruti SX4 Vxi BSIII,2007,Petrol,Individual,Manual,Second Owner,Maruti,18
CAR_000122,Maruti Ertiga VDI,2014,Diesel,Individual,Manual,Second Owner,Maruti,11
CAR_000123,Chevrolet Beat Diesel,2013,Diesel,Individual,Unknown,Second Owner,Chevrolet,12
CAR_000124,Maruti Zen LX,2004,Petrol,Individual,Unknown,First Owner,Maruti,21
CAR_000125,Maruti Baleno Delta 1.2,2018,Petrol,Individual,Manual,First Owner,Maruti,7
CAR_000126,Maruti Swift Vdi BSIII,2007,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,18
CAR_000127,Tata Nano Lx BSIV,2012,Petrol,Individual,Manual,Second Owner,Tata,13
CAR_000128,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,Diesel,Individual,Manual,First Owner,Toyota,13
CAR_000129,Maruti Ertiga SHVS VDI,2016,Petrol,Individual,Unknown,Second Owner,Maruti,9
CAR_000130,Hyundai Creta 1.6 CRDi SX,2016,Diesel,Individual,Unknown,Second Owner,Hyundai,9
CAR_000131,Honda Amaze S i-Vtech,2016,Petrol,Individual,Manual,First Owner,Honda,9
CAR_000132,Tata Indica Vista Aqua 1.4 TDI,2010,Diesel,Individual,Manual,Second Owner,Tata,15
CAR_000133,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,Diesel,Individual,Manual,Third Owner,Chevrolet,13
CAR_000134,Chevrolet Cruze LTZ,2015,Diesel,Dealer,Manual,First Owner,Chevrolet,10
CAR_000135,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,Petrol,Dealer,Manual,First Owner,Ford,10
CAR_000136,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,Petrol,Dealer,Manual,First Owner,Ford,8
CAR_000137,Hyundai i10 Sportz 1.1L,2015,Petrol,Individual,Manual,First Owner,Hyundai,10
CAR_000138,Maruti 800 Std,1998,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,27
CAR_000139,Chevrolet Spark 1.0 LS,2012,Petrol,Individual,Unknown,First Owner,Chevrolet,13
CAR_000140,Hyundai EON Era Plus,2015,Petrol,Individual,Manual,First Owner,Hyundai,10
CAR_000141,Tata Indica Vista Aqua TDI BSIII,2011,Diesel,Individual,Manual,First Owner,Tata,14
CAR_000142,Hyundai Santro LP zipPlus,2003,Petrol,Individual,Manual,First Owner,Hyundai,22
CAR_000143,Tata Bolt Quadrajet XE,2016,Diesel,Individual,Manual,First Owner,Tata,9
CAR_000144,Maruti 800 AC BSIII,2005,Petrol,Individual,Manual,First Owner,Maruti,20
CAR_000145,Hyundai EON Era Plus,2013,Petrol,Individual,Manual,Second Owner,Hyundai,12
CAR_000146,Hyundai i20 Magna 1.2,2015,Petrol,Individual,Unknown,First Owner,Hyundai,10
CAR_000147,Hyundai i20 1.2 Asta,2018,Petrol,Individual,Manual,First Owner,Hyundai,7
CAR_000148,Maruti Ciaz VDi Plus,2015,Diesel,Individual,Manual,First Owner,Maruti,10
CAR_000149,Hyundai i20 Asta 1.4 CRDi,2016,Diesel,Individual,Manual,First Owner,Hyundai,9
CAR_000150,Hyundai Santro LE,2002,Petrol,Individual,Manual,First Owner,Hyundai,23
CAR_000151,Maruti Vitara Brezza VDi,2018,Diesel,Individual,Manual,First Owner,Maruti,7
CAR_000152,Hyundai Santro Xing XL eRLX Euro III,2007,Petrol,Individual,Manual,Second Owner,Hyundai,18
CAR_000153,Hyundai Getz 1.3 GLS,2008,Petrol,Individual,Manual,First Owner,Hyundai,17
CAR_000154,Mahindra Quanto C8,2012,Diesel,Individual,Manual,Second Owner,Mahindra,13
CAR_000155,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,Diesel,Individual,Manual,First Owner,Chevrolet,10
CAR_000156,Hyundai EON Magna Plus,2012,Petrol,Individual,Manual,First Owner,Hyundai,13
CAR_000157,Renault KWID RXT,2016,Petrol,Individual,Unknown,First Owner,Renault,9
CAR_000158,Maruti Wagon R DUO LPG,2014,LPG,Individual,Manual,First Owner,Maruti,11
CAR_000159,Maruti Wagon R LXI,2020,Petrol,Individual,Manual,First Owner,Maruti,5
CAR_000160,Chevrolet Enjoy 1.3 TCDi LS 8,2015,Diesel,Individual,Manual,First Owner,Chevrolet,10
CAR_000161,Chevrolet Spark 1.0 LS,2011,Petrol,Individual,Manual,Third Owner,Chevrolet,14
CAR_000162,Honda City i VTEC SV,2014,Petrol,Individual,Manual,First Owner,Honda,11
CAR_000163,Honda Amaze VX i-DTEC,2013,Diesel,Individual,Manual,First Owner,Honda,12
CAR_000164,Jaguar XJ 5.0 L V8 Supercharged,2010,Petrol,Individual,Unknown,Second Owner,Jaguar,15
CAR_000165,Honda Brio E MT,2013,Petrol,Individual,Manual,Second Owner,Honda,12
CAR_000166,Maruti Swift VVT ZXI,2017,Petrol,Individual,Manual,First Owner,Maruti,8
CAR_000167,Tata Indigo CR4,2011,Diesel,Individual,Manual,First Owner,Tata,14
CAR_000168,Hyundai i10 Asta AT,2011,Petrol,Individual,Automatic,Second Owner,Hyundai,14
CAR_000169,Chevrolet Beat LT,2016,Petrol,Individual,Manual,First Owner,Chevrolet,9
CAR_000170,Maruti Swift VDI BSIV,2015,Diesel,Individual,Unknown,Third Owner,Maruti,10
CAR_000171,Maruti Alto LXi,2012,Petrol,Individual,Manual,Third Owner,Maruti,13
CAR_000172,Chevrolet Beat LT,2011,Petrol,Individual,Manual,Second Owner,Chevrolet,14
CAR_000173,Renault Duster 110PS Diesel RxZ,2013,Diesel,Individual,Manual,Second Owner,Renault,12
CAR_000174,Hyundai Santro Xing XG,2006,Petrol,Individual,Manual,Third Owner,Hyundai,19
CAR_000175,Maruti Swift Dzire ZXI Plus,2019,Petrol,Individual,Manual,First Owner,Maruti,6
CAR_000176,Maruti 800 AC,2007,Petrol,Individual,Manual,Second Owner,Maruti,18
CAR_000177,Maruti Alto K10 LXI CNG,2020,CNG,Individual,Manual,First Owner,Maruti,5
CAR_000178,Maruti 800 Std BSII,2004,Petrol,Individual,Manual,Second Owner,Maruti,21
CAR_000179,Tata Nano LX SE,2013,Petrol,Individual,Unknown,First Owner,Tata,12
CAR_000180,Hyundai i20 Magna 1.2,2016,Petrol,Individual,Manual,First Owner,Hyundai,9
CAR_000181,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,Petrol,Individual,Manual,First Owner,Skoda,10
CAR_000182,Maruti Alto K10 VXI,2018,Petrol,Individual,Manual,First Owner,Maruti,7
CAR_000183,Maruti Ciaz 1.4 Delta,2018,Petrol,Individual,Manual,First Owner,Maruti,7
CAR_000184,Maruti Alto LX,2009,Petrol,Individual,Manual,Second Owner,Maruti,16
CAR_000185,Hyundai i20 Asta,2009,Petrol,Individual,Manual,Second Owner,Hyundai,16
CAR_000186,Tata Nexon 1.2 Revotron XM,2018,Petrol,Individual,Manual,First Owner,Tata,7
CAR_000187,Mahindra Bolero Power Plus SLX,2019,Diesel,Individual,Manual,First Owner,Mahindra,6
CAR_000188,Maruti Zen D,2003,Diesel,Individual,Manual,Second Owner,Maruti,22
CAR_000189,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,Diesel,Individual,Automatic,First Owner,Volkswagen,9
CAR_000190,Maruti Eeco 7 Seater Standard BSIV,2017,Petrol,Individual,Unknown,First Owner,Maruti,8
CAR_000191,Honda City 1.5 EXI,2005,Petrol,Individual,Manual,Second Owner,Honda,20
CAR_000192,Mercedes-Benz New C-Class 220 CDI AT,2013,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,12
CAR_000193,Maruti SX4 Zxi with Leather BSIII,2007,Petrol,Individual,Manual,First Owner,Maruti,18
CAR_000194,Renault Duster 110PS Diesel RxZ,2012,Diesel,Individual,Manual,Second Owner,Renault,13
CAR_000195,Ford Figo Diesel Titanium,2010,Diesel,Individual,Manual,Third Owner,Ford,15
CAR_000196,Ford Figo Diesel Titanium,2011,Petrol,Individual,Manual,Third Owner,Ford,14
CAR_000197,Maruti Swift Dzire VDi,2009,Diesel,Individual,Manual,Third Owner,Maruti,16
CAR_000198,Mahindra Xylo E4,2009,Diesel,Individual,Manual,Third Owner,Mahindra,16
CAR_000199,Maruti Esteem Vxi - BSIII,2006,Petrol,Individual,Manual,Third Owner,Maruti,19
CAR_000200,Maruti Swift VDI BSIV,2017,Diesel,Individual,Manual,First Owner,Maruti,8
CAR_000201,Hyundai i20 1.2 Sportz,2012,Petrol,Individual,Manual,Third Owner,Hyundai,13
CAR_000202,Chevrolet Beat Diesel LT,2012,Diesel,Individual,Manual,First Owner,Chevrolet,13
CAR_000203,Chevrolet Cruze LTZ AT,2015,Diesel,Individual,Automatic,First Owner,Chevrolet,10
CAR_000204,Nissan Micra XL,2014,Petrol,Individual,Manual,Second Owner,Nissan,11
CAR_000205,BMW 5 Series 520d Luxury Line,2017,Diesel,Individual,Automatic,First Owner,BMW,8
CAR_000206,Chevrolet Enjoy 1.3 TCDi LS 8,2013,Petrol,Dealer,Unknown,First Owner,Chevrolet,12
CAR_000207,Hyundai EON Era Plus Option,2014,Petrol,Dealer,Manual,First Owner,Hyundai,11
CAR_000208,Fiat Linea T Jet Emotion,2018,Petrol,Dealer,Manual,First Owner,Fiat,7
CAR_000209,Renault Scala RxL,2013,Petrol,Dealer,Manual,First Owner,Renault,12
CAR_000210,Ford Figo Petrol Titanium,2014,Petrol,Dealer,Manual,First Owner,Ford,11
CAR_000211,Maruti Ciaz ZDi SHVS,2016,Diesel,Individual,Manual,First Owner,Maruti,9
CAR_000212,Skoda Rapid 1.5 TDI Ambition BSIV,2018,Diesel,Dealer,Manual,First Owner,Skoda,7
CAR_000213,Mahindra XUV500 W6 2WD,2017,Diesel,Individual,Manual,First Owner,Mahindra,8
CAR_000214,Mahindra XUV300 W8 Option,2019,Petrol,Dealer,Manual,First Owner,Mahindra,6
CAR_000215,Maruti Ertiga SHVS ZDI,2016,Diesel,Individual,Manual,Second Owner,Maruti,9
CAR_000216,Nissan Terrano XE D,2015,Diesel,Dealer,Manual,First Owner,Nissan,10
CAR_000217,Maruti S-Cross Facelift,2017,Diesel,Individual,Manual,First Owner,Maruti,8
CAR_000218,Hyundai i20 Magna 1.4 CRDi (Diesel),2012,Diesel,Dealer,Unknown,First Owner,Hyundai,13
CAR_000219,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,Petrol,Individual,Automatic,First Owner,Mercedes-Benz,12
CAR_000220,Hyundai EON Era Plus,2012,Petrol,Dealer,Manual,First Owner,Hyundai,13
CAR_000221,Volkswagen Ameo 1.5 TDI Highline,2017,Diesel,Dealer,Manual,First Owner,Volkswagen,8
CAR_000222,Maruti Alto LX,2006,Petrol,Individual,Manual,Third Owner,Maruti,19
CAR_000223,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,LPG,Individual,Manual,Second Owner,Maruti,16
CAR_000224,Maruti Alto LX,2012,Petrol,Individual,Unknown,Second Owner,Maruti,13
CAR_000225,Hyundai Verna i (Petrol),2008,Petrol,Individual,Unknown,Second Owner,Hyundai,17
CAR_000226,Mahindra Renault Logan 1.5 DLS,2008,Diesel,Individual,Unknown,First Owner,Mahindra,17
CAR_000227,Chevrolet Optra Magnum 2.0 LS BSIII,2012,Diesel,Individual,Manual,First Owner,Chevrolet,13
CAR_000228,Mahindra Scorpio S11 BSIV,2017,Diesel,Individual,Manual,First Owner,Mahindra,8
CAR_000229,Hyundai i20 Active 1.2 SX,2017,Petrol,Individual,Manual,First Owner,Hyundai,8
CAR_000230,Maruti SX4 Celebration Diesel,2012,Diesel,Individual,Manual,Second Owner,Maruti,13
CAR_000231,Hyundai Grand i10 Magna,2015,Petrol,Individual,Manual,First Owner,Hyundai,10
CAR_000232,Maruti Alto LXi BSIII,2008,Petrol,Individual,Unknown,First Owner,Maruti,17
CAR_000233,Maruti SX4 Zxi with Leather BSIII,2008,Petrol,Individual,Manual,Second Owner,Maruti,17
CAR_000234,Hyundai i10 Era,2011,Petrol,Individual,Manual,Second Owner,Hyundai,14
CAR_000235,Toyota Innova 2.5 V Diesel 7-seater,2011,Diesel,Individual,Unknown,Second Owner,Toyota,14
CAR_000236,Honda Mobilio V i DTEC,2014,Diesel,Individual,Manual,First Owner,Honda,11
CAR_000237,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,Diesel,Individual,Manual,Fourth & Above Owner,Toyota,15
CAR_000238,Tata Indica V2 2001-2011 DLS BSIII,2009,Diesel,Dealer,Manual,First Owner,Tata,16
CAR_000239,Tata Indica Vista TDI LS,2011,Diesel,Individual,Manual,Second Owner,Tata,14
CAR_000240,Chevrolet Beat Diesel LS,2012,Diesel,Individual,Manual,Second Owner,Chevrolet,13
CAR_000241,Tata Zest Quadrajet 1.3 75PS XE,2015,Petrol,Dealer,Manual,First Owner,Tata,10
CAR_000242,Skoda Fabia 1.2L Diesel Ambiente,2010,Diesel,Dealer,Manual,Second Owner,Skoda,15
CAR_000243,Maruti 800 Std,2013,Petrol,Individual,Manual,First Owner,Maruti,12
CAR_000244,Ford Figo Petrol Titanium,2015,Petrol,Individual,Manual,Second Owner,Ford,10
CAR_000245,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,Diesel,Individual,Manual,First Owner,Toyota,11
CAR_000246,Honda Mobilio V i DTEC,2014,Diesel,Individual,Manual,First Owner,Honda,11
CAR_000247,Hyundai Grand i10 1.2 CRDi Asta,2018,Diesel,Individual,Manual,First Owner,Hyundai,7
CAR_000248,Chevrolet Beat Diesel LT,2011,Petrol,Individual,Manual,Second Owner,Chevrolet,14
CAR_000249,Datsun GO Plus T Option Petrol,2018,Petrol,Individual,Manual,First Owner,Datsun,7
CAR_000250,Hyundai Grand i10 1.2 Kappa Asta,2018,Petrol,Individual,Manual,First Owner,Hyundai,7
CAR_000251,Maruti Omni MPI STD BSIV,2018,Petrol,Individual,Unknown,First Owner,Maruti,7
CAR_000252,Maruti Baleno Alpha 1.2,2017,Petrol,Dealer,Manual,First Owner,Maruti,8
CAR_000253,Ford Fiesta Classic 1.4 SXI Duratorq,2006,Diesel,Individual,Manual,Third Owner,Ford,19
CAR_000254,Hyundai Elite i20 Asta Option BSIV,2019,Petrol,Individual,Manual,First Owner,Hyundai,6
CAR_000255,Hyundai Grand i10 CRDi Magna,2017,Diesel,Dealer,Manual,First Owner,Hyundai,8
CAR_000256,Maruti Ertiga SHVS ZDI,2017,Diesel,Dealer,Unknown,First Owner,Maruti,8
CAR_000257,Hyundai Santro Xing GL Plus,2013,Petrol,Individual,Manual,First Owner,Hyundai,12
CAR_000258,Tata Sumo GX TC 7 Str BSIII,2006,Diesel,Individual,Manual,Second Owner,Tata,19
CAR_000259,Renault KWID RXT,2018,Petrol,Individual,Manual,First Owner,Renault,7
