vehicle_uid,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_record_id,car_age,price_category,km_category,owner_count,fuel_transmission,brand,price_per_km,is_diesel
CAR_000041,Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,,First Owner,41,6,Premium,,0,Petrol_Manual,Jeep,140,0
CAR_000042,Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,42,15,High,High,0,Petrol_Automatic,Mercedes-Benz,7.14,0
CAR_000043,Hyundai i10 Magna 1.1L,2014,229999,60000,,Individual,Manual,Fourth & Above Owner,43,11,Low,Medium,0,Petrol_Manual,Hyundai,3.83,0
CAR_000044,BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,44,12,Premium,High,0,Diesel_Automatic,BMW,20.45,1
CAR_000045,Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,,Third Owner,45,16,Premium,High,0,Diesel_Automatic,Audi,16.03,1
CAR_000046,Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,46,13,High,Medium,0,Diesel_Manual,Hyundai,15.62,1
CAR_000047,Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,47,11,Premium,Medium,0,Diesel_Manual,Mahindra,21,1
CAR_000048,Honda City i DTEC V,2014,560000,74000,,Individual,Manual,Second Owner,48,11,,High,0,Diesel_Manual,Honda,7.57,1
CAR_000049,Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,49,11,Low,Medium,0,Petrol_Manual,Maruti,4.53,0
CAR_000050,Maruti Wagon R VXI BS IV,2012,275000,60000,,Individual,Manual,Second Owner,50,13,Low,Medium,0,Petrol_Manual,Maruti,4.58,0
CAR_000051,Mahindra Scorpio LX,2009,411000,120000,,Individual,Manual,Second Owner,51,16,Mid,High,0,Diesel_Manual,Mahindra,3.42,1
CAR_000052,Hyundai Santro Xing GLS,2009,,79000,Petrol,Individual,Manual,Third Owner,52,16,Low,High,0,Petrol_Manual,Hyundai,1.9,0
CAR_000053,Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,,Individual,Manual,First Owner,53,6,Mid,,0,Petrol_Manual,Hyundai,33.33,0
CAR_000054,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,,First Owner,54,19,Low,High,,Petrol_Manual,Maruti,1.25,0
CAR_000055,Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,55,8,High,Low,0,Diesel_Manual,Maruti,39.19,1
CAR_000056,Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,56,7,Mid,Low,0,Petrol_Manual,Maruti,39.31,0
CAR_000057,Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,57,7,,Low,0,Diesel_Manual,Hyundai,25.86,1
CAR_000058,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,58,7,Mid,Low,0,Petrol_Manual,Maruti,11.07,0
CAR_000059,Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,59,9,High,Medium,0,Diesel_Manual,Maruti,14.46,1
CAR_000060,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,,First Owner,60,11,Mid,Medium,0,Diesel_Manual,Hyundai,6.64,1
CAR_000061,Maruti Alto LXi,2012,160000,60000,Petrol,Individual,,Second Owner,61,13,Low,,0,Petrol_Manual,Maruti,2.67,0
CAR_000062,Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,62,29,,,0,Diesel_Manual,Mahindra,7.14,1
CAR_000063,Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,63,11,High,High,0,Diesel_Manual,Honda,7.5,1
CAR_000064,Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,64,12,Low,High,,Petrol_Manual,Maruti,3.75,0
CAR_000065,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,65,20,Low,High,0,Diesel_Manual,Tata,0.88,1
CAR_000066,Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,66,11,Low,High,0,Petrol_Manual,Hyundai,3.27,0
CAR_000067,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,67,11,Mid,High,0,Diesel_Manual,Toyota,5.71,1
CAR_000068,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,68,16,Low,Medium,,Petrol_Manual,Maruti,2.26,0
CAR_000069,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,69,16,Low,High,,Petrol_Manual,Maruti,1.4,0
CAR_000070,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,70,15,,Very High,0,Diesel_Manual,Chevrolet,0.8,1
CAR_000071,Toyota Corolla Altis Diesel D4DG,2011,,230000,Diesel,Individual,Manual,First Owner,71,14,Mid,Very High,0,Diesel_Manual,Toyota,1.52,1
CAR_000072,Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,72,8,Mid,Medium,0,Diesel_Manual,Mahindra,9.5,1
CAR_000073,Hyundai EON Magna Plus,2018,300000,31000,,Individual,Manual,First Owner,73,7,Low,Medium,0,Petrol_Manual,Hyundai,9.68,0
CAR_000074,Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,74,18,Low,Medium,0,Diesel_Manual,Tata,2.56,1
CAR_000075,Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,75,16,Mid,,0,Diesel_Manual,Toyota,4.17,1
CAR_000076,Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,76,11,Low,Very High,0,Diesel_Manual,Tata,0.75,1
CAR_000077,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,77,19,Low,High,0,Petrol_Manual,Maruti,1.18,0
CAR_000078,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,78,8,High,,0,Diesel_Manual,Ford,26.43,1
CAR_000079,Maruti Ciaz 1.3 Delta,2018,750000,60000,,Individual,Manual,First Owner,79,7,High,Medium,0,Diesel_Manual,Maruti,12.5,1
CAR_000080,Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,80,18,Low,Medium,0,Petrol_Automatic,Honda,3.7,0
CAR_000081,Hyundai i10 Sportz 1.2,2010,,,Petrol,Individual,Manual,Second Owner,81,15,Low,Medium,0,Petrol_Manual,Hyundai,3.94,0
CAR_000082,Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,82,11,Mid,High,,Diesel_Manual,Skoda,3.75,1
CAR_000083,Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,83,20,Low,,0,Petrol_Manual,Hyundai,0.67,0
CAR_000084,Nissan Terrano XL,2014,650000,76000,,Individual,Manual,Second Owner,84,11,High,High,0,Petrol_Manual,Nissan,8.55,0
CAR_000085,Hyundai Grand i10 CRDi Sportz,2015,,80000,Diesel,Individual,Manual,First Owner,85,10,Mid,High,0,Diesel_Manual,Hyundai,5.62,1
CAR_000086,Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,86,6,,Low,0,Diesel_Manual,Hyundai,26,1
CAR_000087,Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,87,9,Mid,Low,0,Petrol_Manual,Honda,41.39,0
CAR_000088,Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,88,10,Mid,Low,0,Petrol_Manual,Honda,18.55,0
CAR_000089,Hyundai Creta 1.6 SX Option,2017,1025000,,Petrol,Dealer,Manual,First Owner,89,8,Premium,Low,0,Petrol_Manual,Hyundai,113.89,0
CAR_000090,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,90,8,Premium,Low,0,Diesel_Automatic,Mercedes-Benz,1253.85,1
CAR_000091,Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,91,10,High,Medium,0,Diesel_Manual,Mahindra,10.71,1
CAR_000092,Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,92,12,Mid,High,0,Diesel_Manual,Renault,5,1
CAR_000093,Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,93,18,Low,Medium,0,Petrol_Manual,Hyundai,1.38,0
CAR_000094,Mahindra Bolero 2011-2019 SLE,2013,,,Diesel,Dealer,,First Owner,94,12,Mid,Medium,0,Diesel_Manual,Mahindra,5.23,1
CAR_000095,Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,95,11,Premium,Medium,0,Diesel_Automatic,Audi,43.24,1
CAR_000096,Fiat Avventura MULTIJET Emotion,2015,350000,,Diesel,Individual,Manual,Second Owner,96,10,Mid,Medium,0,Diesel_Manual,Fiat,6.6,1
CAR_000097,Audi A8 4.2 TDI,2013,,49000,Diesel,Dealer,Automatic,First Owner,97,12,Premium,Medium,0,Diesel_Automatic,Audi,57.14,1
CAR_000098,Datsun RediGO 1.0 S,2017,210000,,Petrol,Dealer,Manual,Second Owner,98,8,Low,Low,0,Petrol_Manual,Datsun,14,0
CAR_000099,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,99,12,Mid,Medium,0,Petrol_Manual,Volkswagen,9,0
CAR_000100,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,100,12,Premium,Medium,0,Diesel_Automatic,Audi,21.7,1
CAR_000101,Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,101,16,Low,Medium,0,Petrol_Automatic,Honda,3.31,0
CAR_000102,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,,First Owner,102,7,Premium,Low,0,Petrol_Automatic,Mercedes-Benz,459.18,0
CAR_000103,BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,103,8,Premium,Low,0,Diesel_Automatic,BMW,211.54,1
CAR_000104,Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,104,7,Premium,Low,0,Diesel_Automatic,Volvo,94.05,1
CAR_000105,Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,105,17,Low,Low,0,Petrol_Manual,Maruti,6,0
CAR_000106,BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,106,13,Premium,Medium,0,Diesel_Automatic,BMW,52.08,1
CAR_000107,Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,107,8,High,High,0,Diesel_Manual,Mahindra,5.23,1
CAR_000108,Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,108,15,Mid,High,0,Diesel_Manual,Hyundai,6,1
CAR_000109,Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,109,8,Mid,Low,0,Petrol_Manual,Nissan,13.3,0
CAR_000110,Mahindra Xylo D4,2018,,87000,Diesel,Individual,Manual,First Owner,110,7,High,High,0,Diesel_Manual,Mahindra,8.62,1
CAR_000111,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,111,6,High,Low,0,Petrol_Manual,Hyundai,50,0
CAR_000112,Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,112,8,Mid,Low,0,Petrol_Manual,Renault,19.69,0
CAR_000113,Mahindra Xylo E4 BS III,2012,600000,60000,,Individual,Manual,First Owner,113,13,Mid,Medium,0,Diesel_Manual,Mahindra,10,1
CAR_000114,Maruti Wagon R LXI Minor,2010,100000,60000,,Individual,Manual,Fourth & Above Owner,114,15,Low,Medium,0,Petrol_Manual,Maruti,1.67,0
CAR_000115,Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,,Third Owner,115,14,Low,,0,Petrol_Manual,Maruti,2.27,0
CAR_000116,Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,116,8,Mid,Low,0,Petrol_Manual,Renault,14,0
CAR_000117,Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,117,9,High,,0,Diesel_Manual,Hyundai,13,1
CAR_000118,Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,118,11,Mid,High,0,Diesel_Manual,Maruti,5.47,1
CAR_000119,Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,,First Owner,119,9,High,High,0,Petrol_Automatic,Hyundai,8.62,0
CAR_000120,Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,120,11,,,0,Diesel_Manual,Mahindra,6.17,1
CAR_000121,Maruti SX4 Vxi BSIII,2007,,90000,Petrol,Individual,Manual,Second Owner,121,18,Low,High,0,Petrol_Manual,Maruti,1.33,0
CAR_000122,Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,122,11,Mid,High,0,Diesel_Manual,Maruti,4.17,1
CAR_000123,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,,Second Owner,123,12,Low,,0,Diesel_Manual,Chevrolet,2.75,1
CAR_000124,Maruti Zen LX,2004,95000,,Petrol,Individual,,First Owner,124,21,Low,Medium,0,Petrol_Manual,Maruti,1.9,0
CAR_000125,Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,125,7,Mid,Low,0,Petrol_Manual,Maruti,27.5,0
CAR_000126,Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,126,18,Low,High,0,Diesel_Manual,Maruti,0.91,1
CAR_000127,Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,127,13,Low,Medium,0,Petrol_Manual,Tata,2,0
CAR_000128,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,128,13,Mid,High,0,Diesel_Manual,Toyota,5,1
CAR_000129,Maruti Ertiga SHVS VDI,2016,800000,70000,,Individual,,Second Owner,129,9,High,Medium,0,Diesel_Manual,Maruti,11.43,1
CAR_000130,Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,,Second Owner,130,9,,Medium,0,Diesel_Manual,Hyundai,12,1
CAR_000131,Honda Amaze S i-Vtech,2016,490000,,Petrol,Individual,Manual,First Owner,131,9,,Medium,0,Petrol_Manual,Honda,9.8,0
CAR_000132,Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,132,15,Low,High,0,Diesel_Manual,Tata,1.54,1
CAR_000133,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,,120000,Diesel,Individual,Manual,Third Owner,133,13,Mid,High,0,Diesel_Manual,Chevrolet,3.33,1
CAR_000134,Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,134,10,High,Low,0,Diesel_Manual,Chevrolet,277.78,1
CAR_000135,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,,14272,Petrol,Dealer,Manual,First Owner,135,10,Mid,Low,0,Petrol_Manual,Ford,37.14,0
CAR_000136,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,,Dealer,Manual,First Owner,136,8,High,Medium,0,Diesel_Manual,Ford,17.07,1
CAR_000137,Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,137,10,Low,Medium,0,Petrol_Manual,Hyundai,5.75,0
CAR_000138,Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,138,27,Low,Medium,0,Petrol_Manual,Maruti,1,0
CAR_000139,Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,,First Owner,139,13,Low,,,Petrol_Manual,Chevrolet,1.62,0
CAR_000140,Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,140,10,Low,Medium,0,Petrol_Manual,Hyundai,2.86,0
CAR_000141,Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,141,14,Low,Medium,0,Diesel_Manual,Tata,1.71,1
CAR_000142,Hyundai Santro LP zipPlus,2003,75000,,Petrol,Individual,Manual,First Owner,142,22,Low,,0,Petrol_Manual,Hyundai,1.32,0
CAR_000143,Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,143,9,Low,High,0,Diesel_Manual,Tata,2.08,1
CAR_000144,Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,144,20,,Low,0,Petrol_Manual,Maruti,3.33,0
CAR_000145,Hyundai EON Era Plus,2013,,3240,Petrol,Individual,Manual,Second Owner,145,12,Low,Low,0,Petrol_Manual,Hyundai,86.42,0
CAR_000146,Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,,First Owner,146,10,Mid,Low,,Petrol_Manual,Hyundai,108,0
CAR_000147,Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,147,7,High,Low,0,Petrol_Manual,Hyundai,70,0
CAR_000148,Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,148,10,Mid,High,0,Diesel_Manual,Maruti,5.25,1
CAR_000149,Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,149,9,Mid,High,0,Diesel_Manual,Hyundai,5.38,1
CAR_000150,Hyundai Santro LE,2002,,70000,,Individual,Manual,First Owner,150,23,Low,Medium,0,Petrol_Manual,Hyundai,0.93,0
CAR_000151,Maruti Vitara Brezza VDi,2018,,35000,Diesel,Individual,Manual,First Owner,151,7,High,Medium,0,Diesel_Manual,Maruti,22.86,1
CAR_000152,Hyundai Santro Xing XL eRLX Euro III,2007,,114000,Petrol,Individual,Manual,Second Owner,152,18,Low,High,0,Petrol_Manual,Hyundai,0.66,0
CAR_000153,Hyundai Getz 1.3 GLS,2008,,53772,,Individual,Manual,First Owner,153,17,Low,Medium,0,Petrol_Manual,Hyundai,3.91,0
CAR_000154,Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,154,13,,High,0,Diesel_Manual,Mahindra,1.39,1
CAR_000155,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,155,10,Mid,High,0,Diesel_Manual,Chevrolet,3.33,1
CAR_000156,Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,156,13,Low,Medium,0,Petrol_Manual,Hyundai,2.83,0
CAR_000157,Renault KWID RXT,2016,225000,25000,Petrol,Individual,,First Owner,157,9,Low,Low,0,Petrol_Manual,Renault,9,0
CAR_000158,Maruti Wagon R DUO LPG,2014,,90000,LPG,Individual,Manual,First Owner,158,11,,High,0,LPG_Manual,Maruti,2.33,0
CAR_000159,Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,159,5,Low,,,Petrol_Manual,Maruti,2,0
CAR_000160,Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,,Diesel,Individual,Manual,First Owner,160,10,Low,Very High,0,Diesel_Manual,Chevrolet,1.71,1
CAR_000161,Chevrolet Spark 1.0 LS,2011,99000,100000,,Individual,Manual,Third Owner,161,14,Low,,0,Petrol_Manual,Chevrolet,0.99,0
CAR_000162,Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,162,11,High,Medium,0,Petrol_Manual,Honda,17.22,0
CAR_000163,Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,163,12,,Low,0,Diesel_Manual,Honda,16.67,1
CAR_000164,Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,,Second Owner,164,15,Premium,Medium,0,Petrol_Automatic,Jaguar,63.75,0
CAR_000165,Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,165,12,Low,Medium,0,Petrol_Manual,Honda,3.71,0
CAR_000166,Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,166,8,Mid,Medium,0,Petrol_Manual,Maruti,9.17,0
